Food_items,Breakfast,Lunch,Dinner,Calories,Calories_lmh,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,VegNovVeg,Fats
Asparagus Cooked,0,1,1,22,0,2.4,0.91,23,14,224,4.1,2,0,1.3,,0.2
Avocados,1,0,0,160,1,2,0.55,12,7,485,8.5,6.7,0,0.7,0,15
Bananas,1,0,0,89,0,1.1,0.26,5,1,358,23,2.6,0,12,0,0.3
Bagels made in wheat,0,1,1,250,1,10,2.76,20,439,165,49,4.1,0,6.1,0,1.5
Berries,1,0,0,349,1,14,6.8,190,298,77,77,13,0,46,0,0.4
Brocolli,0,1,1,25,0,3.8,1.27,118,56,343,3.1,2.8,0,0.6,0,0.5
Brown Rice,0,1,1,362,1,7.5,1.8,33,4,268,76,3.4,0,0,0,2.7
Caulif0er,0,1,1,32,0,3,0.72,32,259,278,6.3,3.3,0,0,0,0.3
American cheese,1,0,0,331,1,20,0.84,497,966,363,8.3,0,0,0,0,24
Coffee,1,0,0,2,0,0.3,0.02,2,1,50,0.2,0,0,0,0,0
Corn,1,1,1,97,0,3.3,0.55,2,253,3.3,22,2.7,0,7.7,0,1.4
Dark chocolates,0,0,1,556,2,5.5,2.13,30,6,502,60,6.5,0,48,0,32
Grapes,1,0,0,93,0,5.6,2.63,363,9,272,17,11,0,6.3,0,2.1
Milk,1,0,1,97,0,3.8,0.12,169,52,178,5.2,0,0,0,0,6.9
Cashew Nuts,1,0,0,553,2,18,6.68,37,12,660,30,3.3,0,5.9,0,44
Onions,0,1,1,40,0,1.1,0.21,23,4,146,9.3,1.7,0,4.2,0,0.1
Orange,1,0,0,97,1,1.5,0.8,161,3,212,25,11,0,0,0,0.2
Pasta canned with tomato sauce,0,1,1,71,0,2.2,0.91,13,381,192,14,0.9,0,4,0,0.7
Pears,1,0,0,57,0,0.4,0.18,9,1,116,15,3.1,0,9.8,0,0.1
Peas,0,1,1,81,0,5.4,1.47,25,5,244,14,5.7,0,5.7,0,0.4
Protein Powder,1,0,0,411,2,46,8.57,500,329,1129,19,7.1,200,5.7,0,17
Pumpkin,0,1,1,18,0,0.7,0.57,15,237,230,4.3,1.1,0,2.1,0,0.1
Tuna Salad,0,1,1,187,1,16,1,17,402,178,9.4,0,0,0,1,9.3
Tuna Fish,0,0,1,184,1,30,1.31,10,50,323,0,0,0,0,1,6.3
Peproni Pizza,0,0,1,298,1,12,2.14,146,692,199,30,1.8,0,3.2,0,14
Cheese Pizza,0,0,1,276,1,11,2.47,192,580,170,33,2.1,0,2.5,0,11
French Fries,0,1,1,289,1,3.5,0.91,17,357,545,37,3.9,0,0.3,0,14
Chicken Burger,0,1,1,292,1,18,0.62,13,859,315,20,1.3,0,0,1,15
Cheese Burger,0,1,1,256,1,13,2.78,92,660,178,25,1.4,0,0,0,12
Chicken Sandwich,0,1,1,257,1,15,1.32,92,605,256,23,1.2,0,5,1,12
Sugar Doughnuts,0,1,1,426,2,5.2,1.06,60,402,102,51,1.5,0,32,0,23
Chocolate Doughnuts,0,1,1,452,2,4.9,4,24,326,201,51,1.9,0,27,0,25
Pop Corn - Caramel,1,0,1,381,1,2,0.8,18,286,110,90,2.5,0,65,0,1.4
Pop Corn,1,0,1,429,2,13,2.28,11,490,241,73,14,0,0.5,0,9.5
Dosa,1,1,1,168,1,4.5,8,0.7,94,76,29,0.9,0,0.1,0,3.7
Idli,1,1,1,156,1,5,17.2,4,207,63,30.2,2.1,0,0.74,0,1.7
Poha,1,0,0,130,1,2.6,3.16,1,201,117,26.9,1.1,0,0.5,0,1.5
Chappati,0,1,1,297,1,11,3.01,93,409,266,46,4.9,0,2.7,0,7.5
Tomato,1,1,1,16,0,1.2,0.47,5,42,212,3.2,0.9,0,2.63,0,0.2
Yogurt,1,1,1,60,0,3.1,0.08,183,70,234,7,0,1,7,0,4
Brownie,1,0,0,407,2,4.4,3.81,17,457,51,84,2.9,0,55,0,6.2
Noodles,0,1,1,108,1,1.8,0.14,4,19,4,24,1,0,0,0,0.2
Uttapam,1,1,1,188,1,4.4,24,6.4,522,91,26.4,2.2,0,0.24,0,7.2
Bhaji Pav,1,0,0,151,1,9,37.4,3.4,438,180,29.3,1,0,1.35,0,2.4
Dal Makhani,0,1,1,109,1,2.1,35.2,8.3,243,366,6.3,1.5,0,3.29,0,8.5
Almonds,1,0,0,579,2,21,3.71,269,1,733,22,13,0,4.4,0,50
Mushrooms,1,1,1,22,0,3.1,0.5,3,5,318,3.3,1,7,2,0,0.3
Egg Yolk cooked,1,0,0,196,1,14,1.89,62,207,152,0.8,0,88,0.4,1,15
Sweet Potatoes cooked,1,1,0,76,0,1.4,0.72,27,27,230,18,2.5,0,5.7,0,0.1
Boiled Potatoes,1,1,1,87,0,1.9,0.31,5,240,379,20,2,0,0.9,0,0.1
White Rice,0,1,1,360,1,6.6,4.36,9,1,86,79,1.4,0,0,0,0.6
